Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Виброплиты», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройстваиюль 2023;1 887;0,00089;август 2023;1 882;0,00088;сентябрь 2023;1 746;0,00072;октябрь 2023;1 345;0,00050;ноябрь 2023;900;0,00034;декабрь 2023;529;0,00019;январь 2024;661;0,00025;февраль 2024;816;0,00033;март 2024;1 104;0,00043;апрель 2024;1 696;0,00071;май 2024;2 235;0,00095;июнь 2024;2 196;0,00112;июль 2024;2 047;0,00104;август 2024;2 038;0,00104;сентябрь 2024;2 063;0,00095;октябрь 2024;1 489;0,00059;ноябрь 2024;860;0,00033;декабрь 2024;765;0,00028;январь 2025;720;0,00026;февраль 2025;882;0,00034;март 2025;1 346;0,00050;апрель 2025;2 130;0,00082;май 2025;2 512;0,00105;июнь 2025;2 621;0,00112;